               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087107,            0.022636,            0.010989,             0.35519,             0.58519,             0.35423,             0.11171,            0.060444,            0.013527,           0.0013668,            0.070291,            0.003301,            0.003301
                   1,            0.061166,            0.016832,           0.0024646,             0.60414,             0.65333,             0.69084,             0.35869,            0.046175,            0.010677,           0.0018814,            0.040072,           0.0064154,           0.0064154
                   2,            0.052345,            0.013795,           0.0025285,             0.72045,             0.81323,             0.82892,             0.41529,            0.040311,           0.0082772,           0.0018578,           0.0096334,           0.0093098,           0.0093098
                   3,            0.044425,            0.011025,           0.0020595,             0.76343,             0.92296,             0.86965,             0.49369,            0.034366,           0.0064107,            0.001333,             0.00901,             0.00901,             0.00901
                   4,             0.03862,           0.0091165,           0.0016542,             0.93689,             0.94519,             0.96435,             0.58072,            0.030139,           0.0057922,           0.0011809,             0.00901,             0.00901,             0.00901
                   5,            0.034722,           0.0082205,           0.0013616,             0.93601,             0.92148,             0.96661,             0.60129,            0.029339,           0.0056239,            0.001155,             0.00868,             0.00868,             0.00868
                   6,            0.031491,            0.007596,           0.0011821,             0.94313,             0.95821,             0.97598,             0.64295,            0.026105,           0.0052719,           0.0010876,             0.00835,             0.00835,             0.00835
                   7,            0.029765,            0.007242,           0.0010605,             0.95482,             0.97069,             0.98037,             0.74742,            0.020737,           0.0049109,          0.00099344,             0.00802,             0.00802,             0.00802
                   8,            0.027785,           0.0072512,          0.00098425,             0.95233,             0.94715,             0.97606,             0.70695,            0.022631,           0.0049114,          0.00085921,             0.00769,             0.00769,             0.00769
                   9,            0.026947,           0.0067449,          0.00087574,             0.93996,             0.95096,             0.97404,             0.77851,            0.019558,           0.0048176,          0.00081543,             0.00736,             0.00736,             0.00736
                  10,            0.026014,           0.0066466,          0.00081859,             0.95665,             0.94814,             0.98002,             0.78642,            0.017245,           0.0044794,          0.00078563,             0.00703,             0.00703,             0.00703
                  11,            0.024615,           0.0062461,          0.00075081,               0.951,             0.94887,             0.97432,             0.73811,            0.019628,           0.0046468,          0.00067348,              0.0067,              0.0067,              0.0067
                  12,             0.02366,            0.006097,          0.00068597,             0.94123,             0.95852,             0.98269,             0.74841,            0.018952,           0.0044279,          0.00065868,             0.00637,             0.00637,             0.00637
                  13,            0.022678,           0.0060416,          0.00062691,              0.9512,             0.95301,             0.97517,             0.77518,            0.017435,           0.0043422,          0.00057426,             0.00604,             0.00604,             0.00604
                  14,            0.022078,           0.0059444,          0.00058038,             0.92408,             0.97185,             0.98118,             0.78309,            0.017806,           0.0043102,          0.00057694,             0.00571,             0.00571,             0.00571
                  15,            0.021545,            0.005817,          0.00055537,             0.94096,             0.95704,             0.97862,             0.79665,            0.017356,           0.0041773,          0.00051224,             0.00538,             0.00538,             0.00538
                  16,            0.020735,           0.0056241,          0.00050548,             0.94689,             0.95852,             0.98363,             0.83172,            0.014913,           0.0040235,          0.00048101,             0.00505,             0.00505,             0.00505
                  17,            0.019935,            0.005635,          0.00047457,             0.95152,             0.95959,             0.98148,             0.79108,            0.017847,           0.0042302,          0.00044586,             0.00472,             0.00472,             0.00472
                  18,            0.019136,           0.0055623,          0.00043442,             0.95984,              0.9561,             0.98633,             0.83841,            0.014156,           0.0038988,          0.00041901,             0.00439,             0.00439,             0.00439
                  19,            0.018566,           0.0054417,          0.00040518,             0.94653,             0.97027,             0.98481,             0.84194,            0.013795,           0.0037985,          0.00039191,             0.00406,             0.00406,             0.00406
                  20,            0.018326,           0.0053118,           0.0003739,             0.96672,             0.94681,             0.98694,             0.84928,            0.013641,           0.0037887,          0.00036183,             0.00373,             0.00373,             0.00373
                  21,            0.017245,           0.0052999,          0.00034397,             0.94787,             0.96296,             0.98857,             0.80249,            0.015771,           0.0038865,          0.00031631,              0.0034,              0.0034,              0.0034
                  22,            0.016762,           0.0050105,          0.00030975,             0.95694,             0.95467,             0.98661,             0.82291,            0.015312,           0.0039512,          0.00028883,             0.00307,             0.00307,             0.00307
                  23,            0.016097,           0.0050639,          0.00028401,             0.96184,             0.95852,              0.9875,             0.84871,            0.013418,           0.0038127,          0.00026276,             0.00274,             0.00274,             0.00274
                  24,            0.015426,           0.0047665,          0.00023797,              0.9517,             0.96338,             0.98895,             0.85263,            0.013752,           0.0037328,          0.00023061,             0.00241,             0.00241,             0.00241
                  25,            0.015162,           0.0047118,          0.00021768,              0.9583,             0.94222,             0.98539,             0.86285,            0.012644,           0.0036684,          0.00021759,             0.00208,             0.00208,             0.00208
                  26,            0.015172,           0.0047482,          0.00020887,             0.96236,             0.94706,             0.98678,             0.85981,            0.013096,           0.0036844,              0.0002,             0.00175,             0.00175,             0.00175
                  27,            0.014384,           0.0047026,          0.00018884,             0.95142,             0.95749,             0.98795,             0.85836,            0.012885,            0.003629,          0.00017972,             0.00142,             0.00142,             0.00142
                  28,            0.014266,           0.0045627,          0.00017094,             0.95275,             0.95597,             0.98833,             0.85718,            0.012873,           0.0036055,          0.00017444,             0.00109,             0.00109,             0.00109
